Sample ,Plant #,Sample,Day,Sample ID,content (ng/mg),Notes,,,Root,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
R-100,18,Root,50,       -M -E,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-101,19,Root,50,       -M -E,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-102,20,Root,50,       -M -E,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-103,21,Root,50,       -M -E,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-104,22,Root,50,       -M -E,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-105,23,Root,50,       -M -E,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-106,24,Root,50,       -M -E,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-107,25,Root,50,       -M -E,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-108,27,Root,60,       -M -E,1.88,60,       -M -E,1.88,,1.88,1.96,1.54,1.60,1.52,1.56,1.39,1.37,1.57,1.50,1.49,1.57,,,,,,,,,,,,,
R-109,28,Root,60,       -M -E,1.96,60,       -M -E,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,
R-110,29,Root,60,       -M -E,1.54,60,       -M -E,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,
R-111,30,Root,60,       -M -E,1.60,60,       -M -E,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,
R-112,31,Root,60,       -M -E,1.52,60,       -M -E,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,
R-113,32,Root,60,       -M -E,1.56,60,       -M -E,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,
R-114,33,Root,60,       -M -E,1.39,60,       -M -E,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,
R-115,34,Root,60,       -M -E,1.37,60,       -M -E,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,
R-116,35,Root,60,       -M -E,1.57,60,       -M -E,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
R-117,36,Root,60,       -M -E,1.50,60,       -M -E,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,
R-118,37,Root,60,       -M -E,1.49,60,       -M -E,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,
R-119,38,Root,60,       -M -E,1.57,60,       -M -E,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
R-120,14,Root,50,       +M -E,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-121,15,Root,50,       +M -E,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-122,16,Root,50,       +M -E,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-123,17,Root,50,       +M -E,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-124,18,Root,50,       +M -E,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-125,19,Root,50,       +M -E,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-126,20,Root,50,       +M -E,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-127,21,Root,50,       +M -E,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-128,22,Root,50,       +M -E,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-129,23,Root,50,       +M -E,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-130,24,Root,50,       +M -E,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-131,25,Root,50,       +M -E,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-133,27,Root,60,       +M -E,1.88,60,       +M -E,1.88,,1.88,1.54,1.17,1.43,1.17,1.40,1.00,1.16,2.07,0.86,1.30,0.85,,,,,,,,,,,,,
R-134,28,Root,60,       +M -E,1.54,60,       +M -E,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,
R-135,29,Root,60,       +M -E,1.17,60,       +M -E,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
R-136,30,Root,60,       +M -E,1.43,60,       +M -E,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,
R-137,31,Root,60,       +M -E,1.17,60,       +M -E,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
R-138,32,Root,60,       +M -E,1.40,60,       +M -E,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,
R-139,33,Root,60,       +M -E,1.00,60,       +M -E,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
R-140,34,Root,60,       +M -E,1.16,60,       +M -E,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
R-141,35,Root,60,       +M -E,2.07,60,       +M -E,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,
R-142,36,Root,60,       +M -E,0.86,60,       +M -E,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,
R-143,37,Root,60,       +M -E,1.30,60,       +M -E,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,
R-144,38,Root,60,       +M -E,0.85,60,       +M -E,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,
S-1,1,Shoot,40,       +M +E,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-2,2,Shoot,40,       +M +E,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-3,3,Shoot,40,       +M +E,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-4,4,Shoot,40,       +M +E,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-5,5,Shoot,40,       +M +E,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-6,6,Shoot,40,       +M +E,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-7,7,Shoot,40,       +M +E,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-8,8,Shoot,40,       +M +E,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-9,9,Shoot,40,       +M +E,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-10,10,Shoot,40,       +M +E,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-11,11,Shoot,40,       +M +E,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-12,12,Shoot,40,       +M +E,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
