Sample Name,Sample Type,Component Name,IS Name,Actual Conc (ng/mL),Area,IS Area,Area Ratio,Calculated Conc (ng/mL),weight (mg),content (ng/mg)
S-4,Unknown,ergo,ergo-d9,N/A,9.03E+04,4.10E+04,2.20E+00,29.32,28.1,2.09
S-5,Unknown,ergo,ergo-d9,N/A,8.71E+04,3.92E+04,2.22E+00,29.61,28.0,2.12
S-6,Unknown,ergo,ergo-d9,N/A,1.03E+05,3.73E+04,2.76E+00,36.77,28.6,2.57
S-7,Unknown,ergo,ergo-d9,N/A,7.52E+04,4.05E+04,1.86E+00,24.70,29.0,1.70
S-8,Unknown,ergo,ergo-d9,N/A,9.30E+04,4.53E+04,2.05E+00,27.36,28.4,1.93
S-9,Unknown,ergo,ergo-d9,N/A,8.96E+04,4.17E+04,2.15E+00,28.61,28.8,1.99
S-10,Unknown,ergo,ergo-d9,N/A,7.87E+04,9.12E+04,8.63E-01,11.40,26.9,0.85
S-11,Unknown,ergo,ergo-d9,N/A,6.86E+04,3.85E+04,1.78E+00,23.73,27.9,1.70
S-12,Unknown,ergo,ergo-d9,N/A,7.25E+04,4.49E+04,1.61E+00,21.46,29.0,1.48
S-13,Unknown,ergo,ergo-d9,N/A,2.09E+05,1.26E+05,1.66E+00,22.11,27.6,1.60
S-14,Unknown,ergo,ergo-d9,N/A,1.78E+05,1.55E+05,1.15E+00,15.27,28.6,1.07
S-15,Unknown,ergo,ergo-d9,N/A,1.55E+05,1.52E+05,1.02E+00,13.52,28.8,0.94
S-16,Unknown,ergo,ergo-d9,N/A,1.57E+05,1.69E+05,9.26E-01,12.25,25.4,0.96
S-17,Unknown,ergo,ergo-d9,N/A,1.61E+05,1.62E+05,9.93E-01,13.14,28.1,0.94
S-18,Unknown,ergo,ergo-d9,N/A,1.79E+05,1.60E+05,1.12E+00,14.81,27.9,1.06
S-19,Unknown,ergo,ergo-d9,N/A,1.46E+05,1.61E+05,9.08E-01,12.00,28.0,0.86
S-20,Unknown,ergo,ergo-d9,N/A,1.38E+05,1.37E+05,1.01E+00,13.33,27.6,0.97
S-21,Unknown,ergo,ergo-d9,N/A,2.71E+05,1.82E+05,1.49E+00,19.81,28.2,1.40
S-22,Unknown,ergo,ergo-d9,N/A,1.89E+05,2.14E+05,8.82E-01,11.65,27.6,0.84
S-23,Unknown,ergo,ergo-d9,N/A,2.80E+05,2.25E+05,1.25E+00,16.53,28.0,1.18
S-24,Unknown,ergo,ergo-d9,N/A,1.52E+05,2.17E+05,6.98E-01,9.19,28.4,0.65
S-25,Unknown,ergo,ergo-d9,N/A,2.19E+05,1.82E+05,1.20E+00,15.95,27.8,1.15
S-26,Unknown,ergo,ergo-d9,N/A,1.26E+05,1.72E+05,7.34E-01,9.66,28.5,0.68
S-27,Unknown,ergo,ergo-d9,N/A,1.18E+05,1.89E+05,6.22E-01,8.16,28.6,0.57
S-28,Unknown,ergo,ergo-d9,N/A,2.03E+05,1.20E+05,1.70E+00,22.63,28.2,1.60
S-29,Unknown,ergo,ergo-d9,N/A,1.22E+05,1.36E+05,8.99E-01,11.88,27.6,0.86
S-30,Unknown,ergo,ergo-d9,N/A,2.23E+05,1.58E+05,1.42E+00,18.80,28.4,1.32
S-31,Unknown,ergo,ergo-d9,N/A,2.72E+05,1.83E+05,1.48E+00,19.73,27.1,1.46
S-32,Unknown,ergo,ergo-d9,N/A,2.48E+05,1.77E+05,1.40E+00,18.59,28.3,1.31
S-33,Unknown,ergo,ergo-d9,N/A,1.03E+06,2.29E+05,4.51E+00,60.23,26.8,4.49
S-34,Unknown,ergo,ergo-d9,N/A,5.31E+05,1.92E+05,2.77E+00,36.97,27.5,2.69
S-35,Unknown,ergo,ergo-d9,N/A,2.66E+05,1.86E+05,1.43E+00,18.95,28.3,1.34
S-36,Unknown,ergo,ergo-d9,N/A,1.17E+05,1.53E+05,7.65E-01,10.09,28.6,0.71
S-37,Unknown,ergo,ergo-d9,N/A,6.64E+04,4.52E+04,1.47E+00,19.52,28.2,1.38
S-38,Unknown,ergo,ergo-d9,N/A,6.22E+04,6.46E+04,9.63E-01,12.74,27.2,0.94
S-39,Unknown,ergo,ergo-d9,N/A,6.64E+04,4.62E+04,1.44E+00,19.11,28.2,1.36
S-40,Unknown,ergo,ergo-d9,N/A,6.34E+04,5.96E+04,1.06E+00,14.09,27.8,1.01
S-41,Unknown,ergo,ergo-d9,N/A,5.81E+04,5.90E+04,9.85E-01,13.03,28.0,0.93
