Plant Group,Plant Number,Sampling Day ,Height (cm),Shoot weight (g),Root weight (g),Grain weight,Total biomass(g),chlorophyll content(fv/fm),Flowering?,R/S Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M+E,30,60,72.5,2.082,0.463,1.523,4.068,0.74,Y,0.222382325,,,,,,,,,Flowering Ratio,,ME,M,E,Control,,Flowering Ratio,,ME,M,E,Control,,,,,,,,,,,
+M+E,31,60,65.0,1.191,0.249,0.882,2.322,0.78,Y,0.20906801,,,,,,,,,,40,1.0,0.6,0.8,0.5,,,40,0,0.134932003,0.116854542,0.287819799,,,,,,,,,,,
+M+E,32,60,67.3,0.746,0.146,0.755,1.647,0.74,Y,0.195710456,,,,,,,,,,50,1.0,0.9,1.0,1.0,,,50,0,0.073905302,0,0,,,,,,,,,,,
+M+E,33,60,68.2,1.629,0.321,1.467,3.417,0.77,Y,0.197053407,,,,,,,,,,60,1.0,0.8,1.0,1.0,,,60,0,0.104154339,0,0,,,,,,,,,,,
+M+E,34,60,71.1,1.294,0.247,1.039,2.58,0.78,Y,0.190880989,,,,,,,,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,
+M+E,35,60,75.2,1.69,0.342,1.37,3.402,0.71,Y,0.202366864,,,,,,,,,,RS Ratio,,ME,M,E,Control,,RS Ratio,,ME,M,E,Control,,,,,,,,,,
+M+E,36,60,58.4,0.963,0.218,0.552,1.733,0.81,Y,0.226375909,,,,,,,,,,,40,0.3,0.4,0.2,0.3,,,40,0.01665114,0.004728271,0.005673433,0.014996788,,,,,,,,,,
+M+E,37,60,66.0,1.97,0.365,1.424,3.759,0.79,Y,0.185279188,,,,,,,,,,,50,0.2,0.21,0.17,0.2,,,50,0.006185971,0.02,0.01,0.009711303,,,,,,,,,,
+M+E,38,60,66.4,1.938,0.403,1.614,3.955,0.76,Y,0.207946336,,,,,,,,,,,60,0.2,0.265758814,0.2,0.240617012,,,60,0.005567478,0.01546491,0.011994917,0.016457826,,,,,,,,,,
+M+E,39,60,64.2,,,,,0.53,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,1,40,68.5,2.373,0.571,,2.944,0.82,Y,0.240623683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,2,40,68.5,3.045,0.699,,3.744,0.81,N,0.22955665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,3,40,66.5,2.913,0.569,,3.482,0.82,Y,0.195331274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,4,40,75.4,3.006,0.628,,3.634,0.81,Y,0.208915502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,5,40,66.1,2.95,0.671,,3.621,0.81,Y,0.227457627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,6,40,64.2,2.329,0.425,,2.754,0.83,N,0.182481752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,7,40,66.4,1.387,0.327,,1.714,0.83,N,0.235760634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,8,40,68.4,3.432,0.722,,4.154,0.82,Y,0.21037296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,9,40,65.2,2.853,0.617,,3.47,0.80,Y,0.216263582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,10,40,69.1,3.271,0.775,,4.046,0.81,Y,0.236930602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,11,40,68.7,3.201,0.668,,3.869,0.82,Y,0.208684786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,12,40,69.9,4.255,1.054,,5.309,0.82,Y,0.247708578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
